Current price,Origninal price,Listing title,Condition
£276.27GBP,£276.27GBP,Spirit by STEINBERGER GT Standard Headless 2000's Electric Guitar,Very Good
"£1,400.47GBP","£1,400.47GBP",Fender American Professional Jazzmaster Left-Handed Lefty Olympic White,Excellent
"£29,783.30GBP","£29,783.30GBP",Gibson Les Paul Joe Perry 59 aged & signed,Mint
£821.61GBP,£821.61GBP,Fender Japan ST 62 - 1985 in weiß mit Floyd Rose Original Tremolo,Good
"£1,492.90GBP","£1,492.90GBP",Ernieball Musicman Luke II 2001 CAR matching headstock,Very Good
"£1,212.81GBP","£1,212.81GBP",Gibson Les Paul Studio 1992 Cherry Sunburst,Very Good
£75GBP,£90,Indio Classic Royal blue,Mint
£298.77GBP,£298.77GBP,Tokai ATE 48 Breezy Sound Telecaster 2018 Natural,Mint
"£4,854.02GBP","£4,854.02GBP",Gibson L5-S 1981 Tobacco Sunburst,Very Good
£236.81GBP,£355.22,Ibanez RG421MSP-TSP Standard Turquoise Sparkle,Very Good
£480GBP,£480GBP,Peavey Wolfgang Special Van Halen Signature Model Red Translucent,Very Good
£56.02GBP,£56.02GBP,Eko Winx Electric guitar,Excellent
£631.50GBP,£788.59,Peavey Destiny neck thru made in USA KAHLER SPYDER trem 1991 Blue,Good
£299.95GBP,£299.95GBP,Edwards by ESP HR Type See Thru Black 1990's Japan Electric Guitar,Very Good
£299.95GBP,£299.95GBP,Charvel by Jackson SDK-075-SSH 1990's Dimarzio PU Japan Electric Guitar,Very Good
£310GBP,£310GBP,Ibanez RGD320 MGS(Original)~~RG Series Extra 26.5 Scale Heavy Guitar 2009/10 Metallic Gray Sunburst,Excellent
"£1,095.17GBP","£1,288.43",Duesenberg Bonneville Cherry Red,Mint
£839.35GBP,£839.35GBP,Esp Ltd M-1001 Deluxe EMG,Excellent
£637.42GBP,£670.97,DANELECTRO Dano PRO 1 Tangerine Lipstick PU RARE RE-ISSUE GUITAR + Bag 11180,Excellent
"£4,615.01GBP","£4,615.01GBP",Rickenbacker 660/12 Tom Petty Signature Ltd. Jetglo 1997,Excellent
"£1,820.61GBP","£1,820.61GBP",Paul Reed Smith 408 Ten Top 2013 McCarty Sunburst,Very Good
£513.09GBP,£513.09GBP,Reverend Sensei,Very Good
"£1,775GBP","£1,775GBP",Fender American Deluxe Telecaster 2005 Cherry Sunburst,Excellent
"£1,972.65GBP","£1,972.65GBP",Luxxtone El Machete 2018 Metalflake Sparkle,Mint
"£1,065.66GBP","£1,420.88",Gibson SG Modern 2019 Blueberry Fade,Very Good
"£2,399.99GBP","£2,399.99GBP",Paul Reed Smith Custom 24 - Pattern Thin - Black Gold Wrap Burst - Mint,Mint
"£2,368.12GBP","£2,368.12GBP",Gibson Slash Collection Les Paul Standard 2020 Vermillion Burst,Mint
None,None,None,None
None,None,None,None
"£1,262.21GBP","£1,262.21GBP",Gibson Les Paul Signature T Trans Black 2013,Good
£296.02GBP,£355.22,"Squier Stratocaster 50s vibe, Fender Champion 20 amp",Very Good
£631.50GBP,£631.50GBP,Ibanez EGEN8-PLB Herman Li Signature Series Electric Guitar Platinum Blonde,Excellent
£670.97GBP,£749.91,ESP LTD EC-1000,Excellent
£138.14GBP,£197.34,Memphis Mustang,Fair
"£1,420.09GBP","£1,420.09GBP",Used Gibson 2009 Les Paul Traditional Electric Guitar with EMG Pickups and Gibson Case,Very Good
£749.91GBP,£828.84,Fender Artist Series Jim Root Signature Telecaster,Very Good
"£1,499.81GBP","£1,776.09",Wimberly James 2020 Walnut,Excellent
"£1,675GBP","£1,675GBP",♚UNDER THE BED!♚2015 FENDER American TELECASTER ELITE ♚Maple Cap Neck !♚ SUNBURST ♚ Deluxe * Ultra,Excellent
"£18,155.63GBP","£18,155.63GBP",Fender Stratocaster 1957 Sunburst,Very Good
"£1,401.14GBP","£1,401.14GBP",Fender Stratocaster Hardtail 70’s Natural,Very Good
£327.59GBP,£327.59GBP,Godin Redline 2 HB Black,Very Good
£630.71GBP,"£1,341.15",Gibson Les paul 2016 Studio,Excellent
"£2,206.30GBP","£2,206.30GBP",1996 Rickenbacker 325V63 very RARE MAPLEGLO with BIRD'S EYE MAPLE BACK!!!,Excellent
"£1,420.88GBP","£1,420.88GBP",Fender Stratocaster ultra series 2020 Texas tea,Mint
£500GBP,£500GBP,Epiphone Les Paul,Mint
"£2,499GBP","£2,499GBP",Gibson Les Paul Supreme 2011 Used,Excellent
£871.59GBP,"£1,025.40",Used Fender American Professional Stratocaster Sunburst 2015,Very Good
"£3,267.76GBP","£3,267.76GBP",Gibson Custom Shop '68 Les Paul Custom Reissue 2011 Ebony,Very Good
£465.89GBP,£465.89GBP,PRS SE SC Soapbar Sunburst USED!!,Good
£710.44GBP,£710.44GBP,Reverend Charger 290 Burnt Brick,Excellent
"£1,149.37GBP","£1,149.37GBP",2010 Larrivee RS-4 All Mahogany White,Excellent
"£4,013.74GBP","£4,013.74GBP",PRS Custom 24 10-Top Violet Smoke Burst USED!!,Excellent
£373.46GBP,£373.46GBP,Aria Pro II TS 500 1979 Brown Burst,Very Good
£250GBP,£250GBP,Squier Classic Vibe '60s Stratocaster with Laurel Fretboard 2010s Sunburst,Excellent
£559.25GBP,£559.25GBP,Elli Sound Crucianelli Elli Sound SG 1960’s 1960 Cherry,Fair
"£4,658.89GBP","£4,658.89GBP",Gibson Custom Shop 1959 R9 Les Paul Historic Standard Reissue 2014 Faded Tobacco VOS,Excellent
£457.97GBP,£551.77,"PRS Paul Reed Smith SE Mira, Rw Fb, Black 281 6lbs 9.7oz",Mint
£615.70GBP,£615.70GBP,Schecter C-7 Apocalypse,Very Good
£799GBP,£799GBP,1965 Magnatone Zephyr Red Sparkle,Good
£465.89GBP,£465.89GBP,PRS SE SC Soapbar Black USED!!,Good
"£7,469.17GBP","£7,469.17GBP",acoustic black widow 1969 black,Very Good
"£4,187.40GBP","£4,187.40GBP",Paul Reed Smith Custom 24 birds eye maple top 1989 Whale Blue,Very Good
£886.96GBP,£886.96GBP,Burny LRJ55-Sc Single Cut junior rock&roll 80’s Tv yellow,Very Good
£375GBP,£375GBP,Aria 1802T Late 60’s/Early 70’s. 3 tone sunburst,Very Good
£273.79GBP,£322.11,LTD EC-256 Guitarra electrica,Very Good
"£3,454.49GBP","£3,454.49GBP",Dan Armstrong ampeg 1970 lucite,Very Good
£275.49GBP,£275.49GBP,"Kay Vanguard Guitar, 1960's, Sunburst, Fresh Setup, Plays & Sounds Good",Good
£399GBP,£500,Epiphone Sg G400 Worn Brown,Good
"£3,348.13GBP","£3,938.98",🎸Blackwater 7 String Multiscale Very Rare FF BWGC,Excellent
£689.96GBP,£839.35,ESP-LTD EC401 Electric guitar with EMG. Made in Korea,Mint
£465.89GBP,£465.89GBP,PRS SE SC Soapbar Sunburst USED!!,Good
"£2,614.21GBP","£2,894.30",Washburn Nuno Bettencourt Signature N4 Padauk USA 2006 Natural,Excellent
"£1,999GBP","£1,999GBP","ESP SV-II Pinstripe Pro Flying V Neck-Thru Guitar! EMG, Floyd Rose! jackson rr1 randy rhoads style",Very Good
£472.84GBP,£472.84GBP,70's 1977 Aria Pro 2 Single Cut Standart Japan Ultra Rare color exclusive,Very Good
£450GBP,£450GBP,Fender Telecaster 2010s Custom Print,Very Good
"£4,013.74GBP","£4,013.74GBP",PRS Custom 24 10-Top Violet Smoke Burst USED!!,Excellent
"£1,857.96GBP","£1,857.96GBP",Gibson Les Paul Traditional T 2016 Iced-Tea,Mint
"£1,446.16GBP","£1,446.16GBP",Fender Eric Johnson Stratocaster White Blonde 2005,Very Good
"£2,146.45GBP","£3,081.03",2005 Fender Stratocaster Custom Shop Custom Classic,Mint
"£1,514.66GBP","£1,514.66GBP",Fender American Vintage 62 Jazzmaster Candy Apple Red 2000,Very Good
£373.08GBP,£621.81,Schecter Omen Extreme S-II Vintage Sunburst BLOWOUT,Mint
£180.77GBP,£180.77GBP,Squier Bullet Stratocaster Year 2000 Torino Red Classic Squier,Very Good
"£1,577.96GBP","£1,577.96GBP",Duoton LD1 Lo-Diver 2019 #022 + Case Offset,Very Good
£465.89GBP,£465.89GBP,PRS SE SC Soapbar Black USED!!,Good
£600GBP,£600GBP,Gibson SG Special Faded Electric Guitar,Excellent
£228.13GBP,£259.70,Epiphone Les Paul 1990s Black White Retro MIK,Good
£273.79GBP,£322.11,LTD EC-256 Guitarra electrica,Very Good
£835GBP,£835GBP,Gibson SG Junior Left Handed Black with Gibson USA gigbag 2011 Ebony,Excellent
"£1,899GBP","£1,899GBP",ESP Graffiti Yellow Super Strat RARE Hardtail HT! Stacked Seymour Duncan! Hard Tail MIJ Japan,Very Good
"£2,799GBP","£2,799GBP",PRS Custom 24 Limited Edition Charcoal (Artist Pack Colour) + EBONY fretboard - MINT!,Mint
"£1,184.06GBP","£1,184.06GBP",2010 PRS SE Mikael Akerfeldt Signature W/gigbag,Excellent
"£1,354.57GBP","£1,354.57GBP","Fender American Professional Telecaster ®, Maple FB, 3-Tone Sunburst",Excellent
"£1,680.56GBP","£1,857.96",Fender Stratocaster Hardtail (1978 - 1981),Very Good
"£1,420.88GBP","£1,420.88GBP",Fender Stratocaster 2020 Texas Tea,Mint
£410.80GBP,£410.80GBP,ESP LTD Viper-400 Vintage Sunburst,Excellent
"£1,150GBP","£1,150GBP",Fender American Series Stratocaster (2004) - Sunburst,Excellent
£197.34GBP,£276.28,Michael Kelly 53db 2019 Dark Tigers Eye,Mint
"£2,939GBP","£2,939GBP","Knaggs Doug Rappaport Kenai Electric Guitar (Blue Fade), Pre-Owned",Excellent
£783.97GBP,£783.97GBP,Gibson Les Paul Studio 2013 Sunburst,Good
£212.34GBP,£259.70,Mitchell MS400 2010s Honey Burst Single Cut Single Cut Copy,Very Good
£650.75GBP,£765.59,1977 Greco SE-700 Stratocaster SCALLOPED Early Sixties // Maxon Excel // Olympic White Lawsuit,Good
"£1,331.99GBP","£1,331.99GBP",ESP E-II Horizon FR-7 Black,Very Good
£850GBP,£850GBP,Paul Reed Smith S2 Vela Satin (2017) Vintage Cherry,Excellent
£871.59GBP,"£1,025.40",Fender American Standard FSR Rustic Ash Stratocaster 2013 Olympic White,Excellent
"£2,519GBP","£2,519GBP",Knaggs 2014 Chesapeake Severn T2 Trembuck HSH Fire Pre-Owned Guitar,Very Good
£999GBP,"£1,199",GIBSON FLYING V 67 REISSUE 2012 EBONY ORIGINAL CASE EXCELLENT CONDITION,Excellent
"£1,150GBP","£1,150GBP",Fender American Standard Stratocaster (1997) Natural Ash,Excellent
£536.78GBP,£536.78GBP,CoolZ ZLS-1 CS 2009 Cherry Sunburst,Excellent
£631.50GBP,£947.25,Fender 60th Anniversary Stratocaster - Upgrades,Excellent
£473.63GBP,£473.63GBP,Fender Player Stratocaster HSS Plus Top 2018 - 2020 Aged Cherry Burst,Excellent
£473.63GBP,£473.63GBP,Airline 7214 1962/63 Gold,Very Good
"£2,368.12GBP","£2,368.12GBP",Gibson Slash Collection Les Paul Standard 2020 November Burst Open Unplayed,Mint
"£3,942.93GBP","£3,942.93GBP",Gibson Custom Shop Les Paul Custom White Scorpion Gold Hardware w Case,Very Good
£236.81GBP,£394.69,Chevy Cheri Stratocaster Type 1990'ish Black,Very Good
£466.82GBP,£466.82GBP,EKO V500-4 black & gold 1962-64,Excellent
£789.38GBP,£789.38GBP,Fender ST-62 Stratocaster Reissue MIJ,Very Good
"£1,119.44GBP","£1,119.44GBP",Fender Stratocaster American Special HSS 2017 Sunburst,Mint
£298.77GBP,£364.12,Ibanez Roadstar II RS 440 1985 White,Fair
"£1,341.15GBP","£1,341.15GBP",Charvel San Dimas MIJ Prototype White,Excellent
£364.12GBP,£414.54,Vintage 1960’s Klira Triumphator Electric Guitar made in W. Germany,Very Good
£452.35GBP,£532.18,1990’s Unknown Japanese Flying V // Metallic Gold,Good
"£7,301.72GBP","£7,301.72GBP","Fender Telecaster 1968 Blond, Factory Bigsby, OHSC",Excellent
£434.16GBP,£434.16GBP,Yamaha SL380 Studio Lord 1980,Good
£907.40GBP,£907.40GBP,Epiphone Jimmy Page Inspired G-1275 Double Neck Guitar - Cherry 2019 Red,Mint
£709.65GBP,£709.65GBP,Ibanez RG927QM Z Red Desert 7 String,Excellent
£365.48GBP,£365.48GBP,Epiphone Les Paul Classic Honey Burst USED,Mint
£236.81GBP,£631.50,Ibanez RG Series RG470AHM 6-string Electric Guitar Blue Moon Burst,Excellent
£65GBP,£120,Cort KX5 White,Very Good
£433.37GBP,£551.77,Danelectro Silvertone 1448 Black Sparkle AMP in Case,Very Good
"£1,799GBP","£1,799GBP",Suhr M1 Charcoal Web,Excellent
"£5,601.87GBP","£5,601.87GBP",2001 Gibson Les Paul Historic Custom Shop R0 1960,Excellent
"£7,025.44GBP","£7,025.44GBP",Gibson EDS-1275 1982 Cherry,Very Good
"£2,100.70GBP","£2,614.21",Gibson Les Paul Goldtop Bonamassa natural relic 2016 pickguard signed,Very Good
£106.56GBP,£106.56GBP,Ibanez GRX22,Good
"£2,209.46GBP","£2,209.46GBP",Jackson Custom Shop SLS Soloist Matte Black 2008,Excellent
£117.62GBP,£236.81,"Red Quilted Austin ""PRS Style Double-Cut""",Excellent
"£1,540.52GBP","£1,540.52GBP",Gibson Les Paul Deluxe Goldtop,Mint
"£4,735.46GBP","£4,735.46GBP",2019 Gibson Les Paul 1960 Custom Shop '60 Historic Wildwood Specs ~ Wildwood Burst,Excellent
"£6,311.05GBP","£6,311.05GBP",Unplayed! Gibson True Historic Collector’s Choice Mick Ralphs ’58 Les Paul Ralphs Burst + COA OHSC,Mint
£509.15GBP,£599,Fender Bullet S-1 Cream 1981,Good
"£1,391.13GBP","£1,577.86",Gibson Flying V '67 Ebony 1993,Excellent
"£1,692GBP","£1,692GBP",Gibson Les Paul 2014 Tobacco Burst,Excellent
£128.56GBP,£151.25,OQAN QGE-LP10 Cherry Sunburst Chitarra Elettrica,Very Good
£800GBP,£800GBP,Aria Pro II 2 Les Paul Standard LS-60D Vintage Japan MIJ 1980's,Very Good
"£1,399GBP","£1,399GBP",Burns 40th Anniversary Marvin Green Sunburst,Excellent
£550.85GBP,£550.85GBP,Military Army,Mint
"£1,354.57GBP","£1,354.57GBP","Fender American Professional Stratocaster ®, Maple FB, 3-Tone Sunburst (2018)",Mint
£513.09GBP,£513.09GBP,Fender Standart Telecaster. My Home VIDEO.,Good
"£1,180.88GBP","£1,389.26",Manne Raven Sunburst Gloss,Mint
"£1,841.15GBP","£2,166.06",Ibanez EGEN18 TVF Prestige Herman Li Signature / EGEN 18 / E-Gen / Dragon Force,Excellent
£670.22GBP,£788.49,Video Demo 1992 Fender Japanese 54' RI Strat Maple Noiseless Pickups Pro Setup Tweed Hard Shell Case,Very Good
£399GBP,£399GBP,Schecter Demon-7 7-String Aged Black Satin 2016,Mint
"£1,633.88GBP","£1,820.61",Steinberger GR4 1988,Very Good
£316.65GBP,£372.52,WSL PB SG GIBUS Black Mat,Mint
£710.44GBP,£710.44GBP,Hofner Colorama II 1961/2 red,Excellent
£354.30GBP,£416.82,Brian Moore iM Solid Body Electric Guitar Seymour Duncan HH Quilt Maple Top,Good
"£2,683.88GBP","£2,683.88GBP",Fender Custom shop 1957 Stratocaster 2019,Mint
£868.31GBP,£868.31GBP,Fender Stratocaster Black with '89 Clapton Neck (parts guitar),Excellent
"£1,499GBP","£1,499GBP",Gretsch G6128T Pro Players Edition Jet Left Handed ~ Secondhand,Excellent
£623.61GBP,£623.61GBP,Orville Les Paul Custom Black,Very Good
"£1,246.42GBP","£1,568.52",Bacchus B-LS 120 Les Paul Gold Top 2010. R7 with handmade 57 PAF replicas and Vintage Wiring,Mint
"£1,099.99GBP","£1,099.99GBP",Gibson Les Paul Tribute Satin Goldtop 2018,Excellent
£789.38GBP,"£1,578.75",Herrnsdorf Markneukirchen Super Rare 60s German,Very Good
£266.09GBP,£266.09GBP,Coxx E-Gitarre Klarlack,Excellent
"£2,835GBP","£2,835GBP","Knaggs 2019 Kenai T2 Electric Guitar (Tobacco Burst), Pre-Owned",Excellent
£788.59GBP,£788.59GBP,Fender Limited Edition HM Strat Reissue,Mint
£685.02GBP,£685.02GBP,2001 Epiphone '67 Reissue Flying V Cherry - Made In Japan - MIJ,Excellent
"£2,295GBP","£2,295GBP",♚EXCEPTIONAL♚RARE !♚ 2012 FENDER American SELECT Stratocaster USA Custom♚ MEGA FLAME NECK !♚Shop,Excellent
"£1,097.03GBP","£1,097.03GBP",ESP Edwards E-FR 130 GT with new Thomann Hardcase,Excellent
"£1,300GBP","£1,300GBP",Gibson Les Paul Traditional Left-Handed 2012 Heritage Cherry Sunburst,Excellent
£631.50GBP,£789.38,Greco Les Paul Black Beauty 1977,Excellent
£513.51GBP,£513.51GBP,B.C. Rich Son of Beast Avenge + Form Fitted Hardcase,Excellent
"£1,103.74GBP","£1,298.52",Superb 2017 Gibson SG Standard in Heritage Cherry OHSC (388),Excellent
£999GBP,£999GBP,Tone-Def Custom T-Type in Forest Green,Mint
"£1,263GBP","£1,263GBP",Ibanez Artist 1978 Antique Violin,Good
"£1,255.88GBP","£1,255.88GBP",ESP 　Custom Order LP-DC Model （2010’sUSED) -Natural- 【MadeInJapan!】,Very Good
£205.24GBP,£276.28,Fresher Stratocaster Japan 1970s,Good
"£1,290.63GBP","£1,290.63GBP",Fender Limited Edition FSR American Vintage Roasted Ash '56 Stratocaster - 2017 - Natural,Good
"£1,286.68GBP","£1,491.92",Kramer USA Stagemaster Black 1980's,Very Good
"£1,499.02GBP","£1,499.02GBP",94 Orville by Gibson LPC-57B Les Paul Custom 57 reissue Ebony fretboard,Good
£233.41GBP,£298.77,Epiphone Nighthawk Custom Reissue Fireburst 2012,Good
£102.62GBP,£118.41,First Act 222 Adam Levine White,Excellent
£710.44GBP,£789.38,Hofner Colorama I 1961/2 red,Excellent
£99GBP,£99GBP,Encore E99 Black,Good
£394.69GBP,£394.69GBP,Epiphone Les Paul Standard W/HSC,Very Good
"£3,725.25GBP","£3,725.25GBP",Gibson Les Paul Junior (1963) Player,Fair
£999GBP,£999GBP,Tone-Def Custom T-Type in Sea Foam Green,Mint
£670.97GBP,£670.97GBP,Ibanez RG421HPAH High Performance Blue Wave Black USED,Very Good
"£1,337.99GBP","£1,337.99GBP",Gibson SG Supreme Midnight Burst 2000,Fair
"£2,835GBP","£2,835GBP","Knaggs 2019 Kenai T2 Electric Guitar (Tobacco Burst), Pre-Owned",Excellent
"£3,153.55GBP","£3,153.55GBP",Super Clean! Limited Edition Fender Custom Shop Telecaster Solid Rosewood + COA OHSC,Excellent
"£4,621.55GBP","£4,621.55GBP","Gibson Les Paul (made to measure) R8 Historic, sigend by Joe Bonamassa 2018 Gloss fools Gold",Mint
£396.80GBP,£396.80GBP,Kramer Striker (100ST) 1985 blue,Excellent
"£1,022.24GBP","£1,022.24GBP",Pre-Owned 2018 Fender American Professional Telecaster w/ Original Case,Excellent
"£2,334.11GBP","£3,267.76",Fender La cabronita custom shop 2009 Black,Very Good
"£1,769.26GBP","£1,769.26GBP",Kramer Jersey Star (Richie Sambora) 2004 white,Mint
£749.91GBP,£749.91GBP,Ibanez Radius 1989 Wine burst,Excellent
£700.23GBP,£886.96,Fernandes Burny Custom Stratocaster 1974 Sunburst made in japan vintage,Mint
£710.44GBP,£986.72,Fender American Professional Series Stratocaster,Excellent
"£1,353.79GBP","£1,493.83",Fender American Standard Stratocaster 1997,Excellent
"£1,103.74GBP","£1,298.52",Superb 2017 Gibson SG Standard in Heritage Cherry OHSC (388),Excellent
"£3,074.62GBP","£3,074.62GBP",1973 Gibson Les Paul Deluxe Cherry Sunburst Finish Electric Guitar w/OHSC,Very Good
"£1,578.74GBP","£1,578.74GBP",2020 Gibson SG Standard '61 Maestro Vibrola Vintage Cherry w/Case Open Box,Mint
"£2,707.57GBP","£3,071.69",Fender Custom Shop Stratocaster 56 relic limited edition 2017 Faded sea foam green,Mint
"£1,531.39GBP","£1,736.63",Washburn Dimebolt 333,Good
£420.14GBP,£513.51,Paul Reed Smith Tremonti SE 2012 Made in Korea Vintage Cherry,Mint
"£1,259.05GBP","£1,259.05GBP",Vintage 1978 Fender Musicmaster White w/ Original Case,Very Good
"£1,286.68GBP","£1,491.92",Kramer USA Stagemaster Black 1980's,Very Good
"£1,128.02GBP","£1,128.02GBP",National Studio 66 1962 Off-White,Very Good
"£1,183.27GBP","£1,183.27GBP",Gibson DC 24 1997 Gloss Red,Very Good
"£1,972.65GBP","£2,368.13",Gibson Les Paul Deluxe 1977 Cherry Sunburst,Fair
£251.15GBP,£251.15GBP,Ibanez ART 320,Very Good
£218.06GBP,£256.55,"Jack's Guitarcheology Hondo MIJ Strat-o-Tele Partscaster (Foto Flame, Light Relic Redburst)",Very Good
"£1,213.74GBP","£1,213.74GBP",Duesenberg Bonneville Cherry Red,Mint
£394.66GBP,£394.66GBP,Jackson X Series CDX22 - Laurel Fingerboard - Gloss Black (2918000503),Mint
"£1,460.34GBP","£1,460.34GBP",Gibson Les Paul Special DC Double Cut 2011 Tv Yellow,Excellent
"£1,633.88GBP","£1,820.61",ESP E-2 Wild Scythe 2018,Mint
"£2,334.11GBP","£3,267.76",Fender La cabronita custom shop 2009 Black,Very Good
"£1,185.72GBP","£1,185.72GBP",Alte Gitarre Guitaar Epiphone Scroll E-Gitarre,Good
£654.53GBP,£788.59,"PRS Paul Reed Smith SE Paul's Guitar w/ Bag, Amber 778 8lbs 2.3oz",Mint
£244.68GBP,£244.68GBP,Squier by Fender by Fender Contemporary Active Jazzmaster HH ST - Laurel Fingerboard - Surf Pearl (3,Mint
£552.56GBP,£552.56GBP,Epiphone Les Paul Custom Pro Electric Guitar,Mint
"£1,539.28GBP","£1,539.28GBP",Gibson Les Paul Voodoo 2003 juju,Very Good
£266.09GBP,£266.09GBP,Gretsch G1617 Synchromatic Sparkle Jet 1999 - 2004 Blue,Very Good
"£1,484.50GBP","£1,484.50GBP",Gibson Reverse Flying V 2007 Guitar of the Week #29 2007 Classic White,Good
£674.18GBP,£812.27,"PRS Paul Reed Smith SE Mark Holcomb 7 String, Walnut / Satin 965 7lbs 12.5oz",Mint
£674.18GBP,£812.27,"PRS Paul Reed Smith SE Mark Holcomb 7 String, Walnut / Satin 174 7lbs 11.1oz",Mint
£995GBP,£995GBP,Fender Telecaster Fully Bound 1962 Custom RI MIJ 2016,Excellent
£559.25GBP,£559.25GBP,Jackson X Series CDX - Gloss Black,Mint
£450GBP,£450GBP,Epiphone Les Paul Standard Korean 1997 Cherry Sunburst (Almost Vintage) + Hard Case,Excellent
"£3,351.49GBP","£3,942.93",Gibson Les Paul Custom 1972 Cherry sunburst original vintage USA bigsby,Good
£654.53GBP,£788.59,"PRS Paul Reed Smith SE Paul's Guitar w/ Bag, Aqua 684 6lbs 13.4oz",Mint
£457.97GBP,£551.77,"PRS Paul Reed Smith SE Mira, Rw Fb, Metallic Blue 784 6lbs 5.5oz",Mint
£800GBP,£800GBP,Paul Reed Smith SE Custom 24 (limited edition) Roasted Maple Fretboard,Mint
"£1,480GBP","£1,480GBP",Gibson Les Paul Classic 2018,Mint
"£3,500GBP","£3,500GBP",1957 Magnatone Mark IV,Very Good
"£1,676.75GBP","£1,972.65",Used Gibson Les Paul Standard HP-II Hot Pink Fade 2018,Excellent
£490.16GBP,£490.16GBP,Epiphone Les Paul Pro Transparent/Sunburst,Excellent
"£1,744.98GBP","£1,744.98GBP",Gibson Les Paul Classic 2020 Honeyburst,Mint
"£4,481.50GBP","£4,481.50GBP",Fender Stratocaster Custom 1960 Burst flame,Mint
"£2,894.30GBP","£2,894.30GBP",Fender Telecaster Custom Shop '58 Relic Blonde del 2008,Excellent
"£2,894.30GBP","£2,894.30GBP",Gibson Les Paul Special (Junior) Historic Custom Shop del 2006,Excellent
"£1,255.11GBP","£1,255.11GBP","Ibanez Iceman IC400, Made in Korea year 2006",Excellent
£773.59GBP,£773.59GBP,Chandler San Francisco Stratocaster Reissue 57 1999 2 tone sunburst,Very Good
£550.85GBP,£606.87,Schecter C-6 FR PRO acqua burst,Mint
£792.81GBP,£932.71,Charvel Pro-Mod DK24 HSS 2PT CM - Red Ash,Mint
"£1,307.10GBP","£1,307.10GBP",G&L S-500 Custom Emerald Blue USA,Mint
£746.92GBP,£746.92GBP,Schecter c1 platinum 2016 noir satin EMG actif état neuf,Mint
£185.80GBP,£185.80GBP,Cruiser by Crafter Strat Red,Excellent
£269.82GBP,£269.82GBP,Squier Stratocaster contemporary HH Black,Good
£839.35GBP,£839.35GBP,Music Man jp70-mdr - super rare color!,Mint
"£1,669.53GBP","£1,669.53GBP","Ibanez Fireman FRM250MF Paul Gilbert, Made in China year 2014",Excellent
"£5,750GBP","£5,750GBP",1965 Fender Jazzmaster - Sunburst - OHSC,Excellent
£845.75GBP,£995,Fender Telecaster Highway One 2003 Nitro Daphne Blue,Good
"£6,442.16GBP","£6,442.16GBP",Gibson SG Les Paul Junior 1963 Cherry,Excellent
£522.84GBP,£522.84GBP,Shergold SM01-SD Brown,Excellent
"£2,500GBP","£2,500GBP",1957 Magnatone Mark 111 Lyric,Excellent
"£1,353.79GBP","£1,353.79GBP",PRS S2 Studio McCarty TS Sunburst - only 50 worldwide!,Mint
£139GBP,£139GBP,Ibanez GRG140 White...mint,Mint
"£2,846.65GBP","£2,846.65GBP",Fender Custom Shop TBC 1960 Stratocaster NOS Shell Pink [NG721],Excellent
£237.29GBP,£279.16,WS Flying V Black,Mint
"£1,278.71GBP","£1,278.71GBP",E-II HORIZON FR-7 Black [XF736],Excellent
"£1,141.71GBP","£1,141.71GBP",Ibanez Rg2527Za Black,Very Good
£131.79GBP,£131.79GBP,Squier Short Scale Strat Pack with Frontman 10G Combo Brown Sunburst,Excellent
"£1,004.70GBP","£1,004.70GBP",Fender American Standard Stratocaster BLK [SG139],Very Good
"£1,700GBP","£1,700GBP",Gretsch Duo Jet 2005 Black,Excellent
£569.33GBP,£569.33GBP,Fender Japan ST54-LS BLK 199 [RG741],Very Good
"£2,894.30GBP","£2,894.30GBP",Fender Telecaster Custom Shop '58 Relic Blonde del 2008,Excellent
"£4,186.25GBP","£4,186.25GBP",Fender Custom Shop Jimi Hendrix Voodoo Child Stratocaster Journeyman Relic Olimpic White [QG101],Excellent
"£2,894.30GBP","£2,894.30GBP",Gibson Les Paul Special (Junior) Historic Custom Shop del 2006,Excellent
£681.56GBP,£681.56GBP,Gibson Les Paul Junior Tribute DC del 2019 PARI AL NUOVO,Excellent
"£12,137.40GBP","£12,137.40GBP",Fender Telecaster 1967 Sunburst,Very Good
£797.67GBP,£797.67GBP,Fender Made In Japan Hybrid '50S Stratocaster Black,Very Good
"£2,450GBP","£2,450GBP",PRS Custom 24 30th Anniversary 2015 Black Gold,Excellent
"£1,172.15GBP","£1,172.15GBP",Roland G-707 [RG345],Very Good
"£5,750GBP","£5,750GBP",1965 Fender Jazzmaster - Sunburst - OHSC,Excellent
£812.89GBP,£812.89GBP,Fender Japan St71 Ash Natural,Very Good
£180GBP,£180GBP,Sinner Alabama partscaster 2020 Battered,Good
"£1,307.10GBP","£1,307.10GBP",Schecter Jeff Loomis JLV-7 NT 2010s Satin Black (SBK),Mint
£513.77GBP,£513.77GBP,Fender Stratocaster ST-57 Left 1999 Black Made in Japan,Excellent
£252.08GBP,£252.08GBP,Yamaha Pacifica PAC412 2010s,Mint
£786.25GBP,£786.25GBP,Edwards E-Lp-125Sp,Very Good
£139GBP,£139GBP,Ibanez GRG140 White...mint,Mint
£482.08GBP,£482.08GBP,Ibanez Custom Single Humbucker Foto Flame 1982,Very Good
"£1,575GBP","£1,575GBP",Little Walter Landon Custom S Style Stratocaster Guitar (Butterscotch),Very Good
£323.64GBP,£358.38,Grover Jackson Dinky DK-c.u.45 1996 Trans Blue,Very Good
